Year,Month,Employment,United States,U.S. Territories,Foreign Countries,Unspecified,Location - All,fracYear
1998,9,AF-DEPARTMENT OF THE AIR FORCE,161144,776,4303,35,166258,1998.75
1998,9,AG-DEPARTMENT OF AGRICULTURE,106848,666,191,NA,107709,1998.75
1998,9,AR-DEPARTMENT OF THE ARMY,216672,1095,13390,150,231307,1998.75
1998,9,CM-DEPARTMENT OF COMMERCE,38581,117,196,39,38933,1998.75
1998,9,DD-DEPARTMENT OF DEFENSE,99436,1490,17835,NA,118765,1998.75
1998,9,DJ-DEPARTMENT OF JUSTICE,122157,378,45,NA,122580,1998.75
1998,9,DL-DEPARTMENT OF LABOR,15899,44,NA,NA,15946,1998.75
1998,9,DN-DEPARTMENT OF ENERGY,16142,NA,NA,NA,16148,1998.75
1998,9,ED-DEPARTMENT OF EDUCATION,4830,NA,NA,NA,4833,1998.75
1998,9,HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,58112,110,29,NA,58261,1998.75
1998,9,HS-DEPARTMENT OF HOMELAND SECURITY,NA,NA,NA,NA,NA,1998.75
1998,9,HU-DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,9904,80,NA,NA,9984,1998.75
1998,9,IN-DEPARTMENT OF THE INTERIOR,72685,327,16,NA,73038,1998.75
1998,9,NV-DEPARTMENT OF THE NAVY,187642,2500,3903,37,194082,1998.75
1998,9,ST-DEPARTMENT OF STATE,9286,16,6282,53,15637,1998.75
1998,9,TD-DEPARTMENT OF TRANSPORTATION,64377,396,82,NA,64858,1998.75
1998,9,TR-DEPARTMENT OF THE TREASURY,141215,295,112,344,141966,1998.75
1998,9,VA-DEPARTMENT OF VETERANS AFFAIRS,238009,2828,NA,NA,240846,1998.75
1998,9,Cabinet Level Agencies,1562939,11121,46398,693,1621151,1998.75
1999,9,AF-DEPARTMENT OF THE AIR FORCE,155595,768,3943,28,160334,1999.75
1999,9,AG-DEPARTMENT OF AGRICULTURE,106071,658,189,NA,106929,1999.75
1999,9,AR-DEPARTMENT OF THE ARMY,209769,1354,13141,115,224379,1999.75
1999,9,CM-DEPARTMENT OF COMMERCE,43305,184,206,12,43707,1999.75
1999,9,DD-DEPARTMENT OF DEFENSE,95920,1784,15066,57,112827,1999.75
1999,9,DJ-DEPARTMENT OF JUSTICE,124486,377,47,NA,124910,1999.75
1999,9,DL-DEPARTMENT OF LABOR,15865,42,NA,NA,15908,1999.75
1999,9,DN-DEPARTMENT OF ENERGY,15856,NA,NA,NA,15859,1999.75
1999,9,ED-DEPARTMENT OF EDUCATION,4912,NA,NA,NA,4915,1999.75
1999,9,HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,60255,114,39,12,60420,1999.75
1999,9,HS-DEPARTMENT OF HOMELAND SECURITY,NA,NA,NA,NA,NA,1999.75
1999,9,HU-DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,10167,85,NA,NA,10252,1999.75
1999,9,IN-DEPARTMENT OF THE INTERIOR,72481,325,12,12,72830,1999.75
1999,9,NV-DEPARTMENT OF THE NAVY,180998,2245,3573,32,186848,1999.75
1999,9,ST-DEPARTMENT OF STATE,9899,13,7170,46,17128,1999.75
1999,9,TD-DEPARTMENT OF TRANSPORTATION,63656,386,87,NA,64135,1999.75
1999,9,TR-DEPARTMENT OF THE TREASURY,143706,293,103,380,144482,1999.75
1999,9,VA-DEPARTMENT OF VETERANS AFFAIRS,216277,2866,NA,NA,219153,1999.75
1999,9,Cabinet Level Agencies,1529218,11497,43589,712,1585016,1999.75
2000,9,AF-DEPARTMENT OF THE AIR FORCE,149582,675,3758,30,154045,2000.75
2000,9,AG-DEPARTMENT OF AGRICULTURE,105838,644,189,44,106715,2000.75
2000,9,AR-DEPARTMENT OF THE ARMY,208121,1509,12955,296,222881,2000.75
2000,9,CM-DEPARTMENT OF COMMERCE,42796,142,207,14,43159,2000.75
2000,9,DD-DEPARTMENT OF DEFENSE,93204,1817,18085,138,113244,2000.75
2000,9,DJ-DEPARTMENT OF JUSTICE,124946,374,44,NA,125364,2000.75
2000,9,DL-DEPARTMENT OF LABOR,16045,40,NA,NA,16085,2000.75
2000,9,DN-DEPARTMENT OF ENERGY,15780,NA,NA,NA,15787,2000.75
2000,9,ED-DEPARTMENT OF EDUCATION,4927,NA,NA,NA,4930,2000.75
2000,9,HE-DEPARTMENT OF HEALTH AND HUMAN SERVICES,62824,109,54,109,63096,2000.75
2000,9,HS-DEPARTMENT OF HOMELAND SECURITY,NA,NA,NA,NA,NA,2000.75
2000,9,HU-DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,10202,83,NA,NA,10285,2000.75
2000,9,IN-DEPARTMENT OF THE INTERIOR,74396,350,14,NA,74765,2000.75
2000,9,NV-DEPARTMENT OF THE NAVY,176948,1246,3679,34,181907,2000.75
2000,9,ST-DEPARTMENT OF STATE,11075,12,8268,140,19495,2000.75
2000,9,TD-DEPARTMENT OF TRANSPORTATION,63148,366,78,NA,63598,2000.75
2000,9,TR-DEPARTMENT OF THE TREASURY,143764,439,88,409,144700,2000.75
2000,9,VA-DEPARTMENT OF VETERANS AFFAIRS,216462,2943,NA,NA,219415,2000.75
2000,9,Cabinet Level Agencies,1520058,10752,47435,1226,1579471,2000.75
2001,9,AF-DEPARTMENT OF THE AIR FORCE,149996,721,3702,25,154444,2001.75
2001,9,AG-DEPARTMENT OF AGRICULTURE,109848,663,201,38,110750,2001.75
2001,9,AR-DEPARTMENT OF THE ARMY,207057,1495,12927,185,221664,2001.75
2001,9,CM-DEPARTMENT OF COMMERCE,39782,78,194,16,40070,2001.75
